Index,Version ID,Version Name,Date,File,Bugginess
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,false
1,1,3.0.0,2008-10-27T00:00,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,false
